cluster,n_nodes,n_edges,internal_density,coeff_variation,fraud_score,is_fraud_ring,total_volume
82,499,4,3.219289985593677e-05,0.0,0.302709,False,4.0
126,393,3,3.8946876460507865e-05,0.0,0.302584,False,3.0
66,1179,9,1.2960250910457626e-05,0.0,0.302571,False,9.0
72,659,5,2.3061560529677922e-05,0.0,0.302561,False,5.0
45,399,3,3.778289945970454e-05,0.0,0.302545,False,3.0
31,824,6,1.7695147990421027e-05,0.0,0.302455,False,6.0
87,695,5,2.0732693384197543e-05,0.0,0.302427,False,5.0
189,145,1,9.578544061302682e-05,0.0,0.302365,False,1.0
137,439,3,3.120416887696196e-05,0.0,0.302311,False,3.0
4,304,2,4.342539517109606e-05,0.0,0.302232,False,2.0
88,313,2,4.0960104857868435e-05,0.0,0.302167,False,2.0
5,472,3,2.698909640505236e-05,0.0,0.302149,False,3.0
16,487,3,2.535047025122316e-05,0.0,0.302082,False,3.0
165,169,1,7.044237813468582e-05,0.0,0.302023,False,1.0
96,182,1,6.0712767895088334e-05,0.0,0.301876,False,1.0
42,1107,6,9.801183002788436e-06,0.0,0.301826,False,6.0
19,201,1,4.9751243781094526e-05,0.0,0.301696,False,1.0
105,403,2,2.4690443563818622e-05,0.0,0.30168,False,2.0
118,656,3,1.3963880096816236e-05,0.0,0.301543,False,3.0
185,710,3,1.1919187905997339e-05,0.0,0.301426,False,3.0
170,477,2,1.7617109736976553e-05,0.0,0.301417,False,2.0
172,269,1,2.774232924596349e-05,0.0,0.301263,False,1.0
104,270,1,2.7536830510808205e-05,0.0,0.301258,False,1.0
14,326,1,1.8876828692779613e-05,0.0,0.30104,False,1.0
180,332,1,1.8199686965384195e-05,0.0,0.301021,False,1.0
71,359,1,1.5561538102426044e-05,0.0,0.300944,False,1.0
171,394,1,1.2916392193332558e-05,0.0,0.300859,False,1.0
136,399,1,1.2594299819901513e-05,0.0,0.300848,False,1.0
44,516,1,7.526153383005945e-06,0.0,0.300655,False,1.0
100,743,1,3.6277493805617933e-06,0.0,0.300454,False,1.0
1,162,0,0.0,999.0,0.0003,False,0.0
3,104,0,0.0,999.0,0.0003,False,0.0
12,47,0,0.0,999.0,0.0003,False,0.0
17,7,0,0.0,999.0,0.0003,False,0.0
20,11,0,0.0,999.0,0.0003,False,0.0
21,184,0,0.0,999.0,0.0003,False,0.0
22,714,0,0.0,999.0,0.0003,False,0.0
25,42,0,0.0,999.0,0.0003,False,0.0
26,137,0,0.0,999.0,0.0003,False,0.0
29,35,0,0.0,999.0,0.0003,False,0.0
32,274,0,0.0,999.0,0.0003,False,0.0
33,6,0,0.0,999.0,0.0003,False,0.0
46,169,0,0.0,999.0,0.0003,False,0.0
51,12,0,0.0,999.0,0.0003,False,0.0
52,15,0,0.0,999.0,0.0003,False,0.0
53,75,0,0.0,999.0,0.0003,False,0.0
54,291,0,0.0,999.0,0.0003,False,0.0
55,104,0,0.0,999.0,0.0003,False,0.0
56,67,0,0.0,999.0,0.0003,False,0.0
61,46,0,0.0,999.0,0.0003,False,0.0
62,404,0,0.0,999.0,0.0003,False,0.0
70,85,0,0.0,999.0,0.0003,False,0.0
77,137,0,0.0,999.0,0.0003,False,0.0
81,47,0,0.0,999.0,0.0003,False,0.0
91,87,0,0.0,999.0,0.0003,False,0.0
92,338,0,0.0,999.0,0.0003,False,0.0
98,69,0,0.0,999.0,0.0003,False,0.0
101,18,0,0.0,999.0,0.0003,False,0.0
103,28,0,0.0,999.0,0.0003,False,0.0
110,5,0,0.0,999.0,0.0003,False,0.0
111,39,0,0.0,999.0,0.0003,False,0.0
112,338,0,0.0,999.0,0.0003,False,0.0
117,11,0,0.0,999.0,0.0003,False,0.0
125,191,0,0.0,999.0,0.0003,False,0.0
127,4,0,0.0,999.0,0.0003,False,0.0
128,262,0,0.0,999.0,0.0003,False,0.0
129,52,0,0.0,999.0,0.0003,False,0.0
142,366,0,0.0,999.0,0.0003,False,0.0
144,108,0,0.0,999.0,0.0003,False,0.0
146,127,0,0.0,999.0,0.0003,False,0.0
152,90,0,0.0,999.0,0.0003,False,0.0
153,29,0,0.0,999.0,0.0003,False,0.0
154,73,0,0.0,999.0,0.0003,False,0.0
155,281,0,0.0,999.0,0.0003,False,0.0
157,256,0,0.0,999.0,0.0003,False,0.0
160,75,0,0.0,999.0,0.0003,False,0.0
173,165,0,0.0,999.0,0.0003,False,0.0
178,225,0,0.0,999.0,0.0003,False,0.0
181,296,0,0.0,999.0,0.0003,False,0.0
184,57,0,0.0,999.0,0.0003,False,0.0
187,88,0,0.0,999.0,0.0003,False,0.0
192,48,0,0.0,999.0,0.0003,False,0.0
195,64,0,0.0,999.0,0.0003,False,0.0
196,202,0,0.0,999.0,0.0003,False,0.0
198,140,0,0.0,999.0,0.0003,False,0.0
